bookno,Title,Author,Language
51082.txt, Coming Attraction, Fritz Leiber, English
32243.txt, Confidence Game, James McKimmey, English
306-0.txt," The Early Short Fiction of Edith Wharton, Part 2 (of 10)", Edith Wharton, English
31038.txt, The Real Hard Sell, William W Stuart, English
28636-8.txt, The Grey Woman and other Tales, Mrs. (Elizabeth) Gaskell, English
6258.txt," Donovan Pasha And Some People Of Egypt, Volume 3.", Gilbert Parker, English
23210-0.txt, Missing Link, Frank Patrick Herbert, English
51531.txt, With These Hands, C.M. Kornbluth, English
3250-0.txt, How Tell a Story and Others, Mark Twain (Samuel Clemens), English
52776.txt, X Marks the Pedwalk, Fritz Leiber, English
51519.txt, The Drug, C.C. MacApp, English
49504-0.txt, God's Playthings, Marjorie Bowen, English
32041.txt, One Man's Poison, Robert Sheckley, English
42232-0.txt, A Child's Dream of a Star, Charles Dickens, English
51337.txt, The Man Outside, Evelyn E. Smith, English
3254.txt, The Complete Project Gutenberg Works of Galsworthy, John Galsworthy, English
32684.txt, The Invader, Alfred Coppel, English
46520-8.txt, Secret Service or Recollections of a City Detective, Andrew Forrester, English
30044.txt, The Carnivore, G. A. Morris, English
49913-0.txt, Nine Unlikely Tales, E. Nesbit, English
39706.txt, Mother West Wind's Animal Friends, Thornton W. Burgess, English
10577-8.txt, International Short Stories: French, Various, English
40294-8.txt, Der Mord an der Jungfrau, Maurice Barrs, German
9209.txt," The Haunted Mind (From ""Twice Told Tales"")", Nathaniel Hawthorne, English
1655.txt, The God of His Fathers, Jack London, English
7516-0.txt, Crucial Instances, Edith Wharton, English
58893.txt, Race Riot, Ralph Williams, English
9221.txt," The Old Manse (From ""Mosses From An Old Manse"")", Nathaniel Hawthorne, English
2071-0.txt, Stories By English Authors: Germany, Various, English
55321-8.txt, Nachbarn, Hermann Hesse, German
32487.txt, A Gift For Terra, Fox B. Holden, English
2148-0.txt, The Works of Edgar Allan Poe, Edgar Allan Poe, English
14129-8.txt," The Works of Charles Lamb in Four Volumes, Volume 4", Charles Lamb, English
53045.txt, The Masked World, Jack Williamson, English
29931.txt, The Big Tomorrow, Paul Lohrman, English
32134.txt, The Dictator, Milton Lesser, English
51981-0.txt, Sandburrs and Others, Alfred Henry Lewis, English
1646-8.txt, Roads of Destiny, O. Henry, English
51493.txt, Kreativity For Kats, Fritz Leiber, English
112-8.txt, Violists, Richard McGowan, English
50766.txt, The Snowball Effect, Katherine MacLean, English
18950-8.txt, The Short Cut, Jackson Gregory, English
24965.txt, The Deadly Daughters, Winston K. Marks, English
868.txt, The Philosopher's Joke, Jerome K. Jerome, English
24150.txt, Disturbing Sun, Robert Shirley Richardson, English
